State,Region,Division
Alabama,South,East South Central
Alaska,West,Pacific
Arizona,West,Mountain
Arkansas,South,West South Central
California,West,Pacific
Colorado,West,Mountain
Connecticut,Northeast,New England
Delaware,South,South Atlantic
DistrictofColumbia,South,South Atlantic
Florida,South,South Atlantic
Georgia,South,South Atlantic
Hawaii,West,Pacific
Idaho,West,Mountain
Illinois,Midwest,East North Central
Indiana,Midwest,East North Central
Iowa,Midwest,West North Central
Kansas,Midwest,West North Central
Kentucky,South,East South Central
Louisiana,South,West South Central
Maine,Northeast,New England
Maryland,South,South Atlantic
Massachusetts,Northeast,New England
Michigan,Midwest,East North Central
Minnesota,Midwest,West North Central
Mississippi,South,East South Central
Missouri,Midwest,West North Central
Montana,West,Mountain
Nebraska,Midwest,West North Central
Nevada,West,Mountain
NewHampshire,Northeast,New England
NewJersey,Northeast,Middle Atlantic
NewMexico,West,Mountain
NewYork,Northeast,Middle Atlantic
NorthCarolina,South,South Atlantic
NorthDakota,Midwest,West North Central
Ohio,Midwest,East North Central
Oklahoma,South,West South Central
Oregon,West,Pacific
Pennsylvania,Northeast,Middle Atlantic
RhodeIsland,Northeast,New England
SouthCarolina,South,South Atlantic
SouthDakota,Midwest,West North Central
Tennessee,South,East South Central
Texas,South,West South Central
Utah,West,Mountain
Vermont,Northeast,New England
Virginia,South,South Atlantic
Washington,West,Pacific
WestVirginia,South,South Atlantic
Wisconsin,Midwest,East North Central
Wyoming,West,Mountain
